Date,Type,Category,Amount,Description
2025-06-15,income,Sprzedaż rzeczy,2089.81,Sprzedaż starego laptopa
2025-06-17,income,Dodatkowa praca,418.23,Dorobek weekendowy
2025-06-18,income,Prezent,300.0,Prezent od rodziny
2025-06-16,income,Pensja,5000.0,Wpływ z pracy
2025-06-29,income,Stypendium,445.9,Wypłata stypendium
2025-06-19,expense,Abonamenty,50.0,Netflix
2025-06-30,expense,Zakupy,300.0,Nowe buty
2025-06-09,expense,Leki,41.06,Apteka
2025-06-20,expense,Transport,5.0,Bilet autobusowy
2025-06-24,expense,Rachunki,172.32,Rachunek za prąd
2025-06-04,expense,Rozrywka,120.0,Kino i popcorn
2025-06-21,expense,Jedzenie,64.91,Zakupy spożywcze
2025-06-07,expense,Podróże,258.55,Weekendowy wyjazd
2025-06-22,expense,Rachunki,104.21,Abonament telefoniczny
2025-06-24,expense,Leki,346.23,Apteka
2025-06-04,expense,Zakupy,254.86,Nowe ciuchy
2025-06-21,expense,Rachunki,294.95,Rachunek za prąd
2025-06-07,expense,Abonamenty,61.66,Amazon prime
2025-06-22,expense,Abonamenty,30.0,MAX
2025-06-28,expense,Zakupy,500.0,Nowe buty
2025-06-03,expense,Podróże,242.99,Weekendowy wyjazd
2025-06-11,expense,Rachunki,60.0,Rachunek za wode
2025-06-14,expense,Zakupy,236.88,czesci do samochodu
2025-06-25,expense,Jedzenie,254.29,Zakupy spożywcze
2025-06-08,expense,Telefon i internet,54.58,Abonament telefoniczny
2025-06-06,expense,Rachunki,150.0,Oplata za miejsce parkingowe
2025-06-01,expense,Leki,140.0,Apteka
2025-09-04,income,Prezent,200.0,opis
2025-06-12,income,,200.0,ops
